,SKU,Total Amount,Total Quantity,Total Transaction Count,Zero Priced Count,Discounted Amount,Discounted Quantity,Discounted Transaction Count,Offered Amount,Offered Quantity,Offered Transaction Count,Loss Amount,Loss Quantity,Loss Transaction Count,Returned Amount,Returned Quantity,Returned Transaction Count,Transaction Amount,Transaction Quantity,Transaction Count
Hemlock,,297067,28846,35660,-172,-2096,-1294,-1332,-1693,-168,-169,-12078,-1199,-840,-16,-2,2,281184,27305,32617
BEER,,16976,2299,2867,-4,-130.55,-101,-102,-26,-4,-6,-847,-111,-90,-5,-1,1,15967.45,2179,2608
    Cider-size Me!,207,9,2,2,,,,,,,,,,,,,,9,2,2
    CURRENT CAN,134,1591,133,227,,-19.5,-11,-12,,,,-168,-14,-13,,,,1403.5,119,202
    FARM DAY,196,198,18,24,,-4.95,-3,-2,,,,-22,-2,-1,,,,171.05,16,20
    GANSETT,131,3066,573,691,,-18.45,-24,-20,,,,-197,-35,-26,,,,2850.55,538,635
    HALF ACRE,194,1664,208,266,,-24,-13,-11,,,,-144,-18,-15,,,,1496,190,235
    Modelo,17,25,5,8,,,,,-5,-1,-3,,,,-5,-1,1,15,3,6
    N/A BEER,147,406,58,82,,-2.1,-2,-4,,,,-56,-8,-6,,,,347.9,50,72
    OPEN BEER,148,14,2,2,,,,,,,,,,,,,,14,2,2
    OXBOW,51,2904,382,480,-4,-23.8,-18,-22,-14,-2,-2,-72,-9,-8,,,,2794.2,367,428
    Random Can,208,30,5,7,,,,,,,,-12,-2,-1,,,,18,3,5
    Return Beer,33,6848,883,1037,,-35.5,-28,-29,-7,-1,-1,-152,-19,-18,,,,6653.5,863,966
    SIX POINT,132,102,17,25,,-0.9,-1,-1,,,,-24,-4,-2,,,,77.1,13,21
    Smash - Vegan Patty,203,11,1,1,,,,,,,,,,,,,,11,1,1
    Vermonter Cider,193,108,12,15,,-1.35,-1,-1,,,,,,,,,,106.65,12,13
COCKTAILS,,173087,14111,16767,,-1296.35,-693,-682,-840,-70,-62,-3939,-313,-269,,,,167011.65,13728,15579
    Aqueduct,157,933,72,90,,-9.75,-5,-4,,,,-13,-1,-1,,,,910.25,71,84
    Beverage Disco,69,18,2,4,,,,,,,,,,,,,,18,2,2
    Bicycle Thief,65,7863,605,767,,-66.8,-32,-31,,,,-364,-28,-24,,,,7432.2,577,703
    Booze + Juice,70,1800,150,164,,-1.8,-1,-1,,,,-12,-1,-1,,,,1786.2,149,161
    BOULEVARDIER,172,208,16,16,,,,,,,,,,,,,,208,16,16
    Bourbon Shake,66,320,26,42,,-7.2,-4,-3,,,,-12,-1,-1,,,,300.8,25,32
