,SKU,Total Amount,Total Quantity,Total Transaction Count,Zero Priced Count,Discounted Amount,Discounted Quantity,Discounted Transaction Count,Offered Amount,Offered Quantity,Offered Transaction Count,Loss Amount,Loss Quantity,Loss Transaction Count,Returned Amount,Returned Quantity,Returned Transaction Count,Transaction Amount,Transaction Quantity,Transaction Count
Hemlock,,84024,7278,9922,-69,-947.35,-356.5,-396,,,,-2153,-192,-168,-15,-1,1,80908.65,7016,9084
BEER,,7275,890,1089,,-72.85,-41,-48,,,,-106,-12,-10,,,,7096.15,878,1020
    CURRENT CAN,134,221,17,34,,,,-2,,,,,,,,,,221,17,31
    GANSETT,131,1332,222,237,,-6.3,-7,-4,,,,,,,,,,1325.7,222,231
    N/A BEER,147,427,61,102,,-26.95,-14,-10,,,,-7,-1,-1,,,,393.05,60,89
    Return Beer,33,4716,524,639,,-35.55,-17,-29,,,,-90,-10,-8,,,,4590.45,514,597
    SIX POINT,132,30,5,6,,,,,,,,,,,,,,30,5,6
    Vermonter Cider,193,549,61,71,,-4.05,-3,-3,,,,-9,-1,-1,,,,535.95,60,66
COCKTAILS,,41923.5,2914,3847,,-481.5,-166,-184,,,,-719,-51,-40,-15,-1,1,40708,2862,3578
    BEAD & FEATHER,272,1395,93,130,,-4.5,-2,-2,,,,-30,-2,-2,,,,1360.5,91,125
    BLACK MANHATTAN,270,4665,311,396,,-15.75,-7,-15,,,,-15,-1,-1,,,,4634.25,310,378
    CARPETBAGGER,268,975,65,88,,-9.75,-2,-2,,,,,,,,,,965.25,65,84
    COCKTAIL OF THE DAY,241,,,1,,,,,,,,,,,,,,,,
    COCKTAIL SHAKEN,140,6345,423,514,,-98.25,-32,-31,,,,-60,-4,-3,,,,6186.75,419,467
    COCKTAIL STIRRED,139,1710,114,149,,-38.25,-17,-13,,,,-30,-2,-2,,,,1641.75,112,132
    Daiquiri,60,13,1,1,,,,,,,,,,,,,,13,1,1
    Gershwin,236,120,8,5,,,,,,,,,,,,,,120,8,5
    Gimlet,206,26,2,2,,,,,,,,,,,,,,26,2,2
    Gin & Sin,239,14,1,1,,,,,,,,,,,,,,14,1,1
    HAITIAN DIVORCE,273,1500,100,133,,-13.5,-6,-5,,,,-15,-1,-1,,,,1471.5,99,126
    HOT DRINX,209,28,2,3,,,,,,,,,,,,,,28,2,2
    Manhattan,126,585,39,54,,,,,,,,,,,,,,585,39,54
    Margarita,58,4935,329,457,,-46.5,-16,-27,,,,-135,-9,-4,,,,4753.5,320,422
    Martini Gin,64,1875,125,194,,-33,-10,-11,,,,-30,-2,-2,,,,1812,123,177
    Martini Vodka,63,1290,86,145,,-43.5,-8,-5,,,,-45,-3,-3,,,,1201.5,83,136
    Negroni,127,1515,101,135,,-6.75,-3,-5,,,,-15,-1,-1,,,,1493.25,100,129
    Old Fashioned,62,1170,78,96,,-4.5,-2,-6,,,,-30,-2,-2,-15,-1,1,1120.5,75,89
    Open Cocktail,38,19.5,2,2,,,,,,,,,,,,,,19.5,2,2
    Paper Plane,188,13,1,1,,,,,,,,,,,,,,13,1,1
    Penicillin,7,4140,276,347,,-75,-24,-25,,,,-45,-3,-3,,,,4020,273,314
    Pineapple Daiq,61,,,2,,,,,,,,,,,,,,,,
    pineapple daiquiri,262,3165,211,244,,-27,-12,-8,,,,-45,-3,-3,,,,3093,208,232
    POP-UP COCKTAIL,291,1350,90,159,,-18,-8,-7,,,,-45,-3,-2,,,,1287,87,149
    Rainy Day Dark And Stormy,228,,,1,,,,,,,,,,,,,,,,
    SAZERAC COCKTAIL,176,26,2,1,,,,,,,,,,,,,,26,2,1
    SHOOTER,202,7,1,3,,,,,,,,,,,,,,7,1,3
    Soda,123,441,147,172,,-2.25,-5,-5,,,,-12,-4,-4,,,,426.75,143,161
    SPRITZ,138,45,3,11,,-7.5,-1,-5,,,,,,,,,,37.5,3,6
    TITOS MARTINI,253,176,11,10,,,,,,,,-32,-2,-1,,,,144,9,9
    TONE POLICE,269,4380,292,390,,-37.5,-11,-12,,,,-135,-9,-6,,,,4207.5,283,370
FOOD,,25498,2662,3932,-69,-295.55,-106.5,-115,,,,-1226,-119,-109,,,,23976.45,2474,3522
    BABA GHANO0USH,302,,9,17,-9,,,,,,,,,,,,,,,
    BEEF TARTARE,279,180,12,29,,-7.5,-1,-1,,,,,,,,,,172.5,12,28
    BITTER SALAD,283,160,10,30,,-2.4,-1,-1,,,,-16,-1,-1,,,,141.6,9,28
    BOQUERONES,304,42,7,11,,,,,,,,,,,,,,42,7,11
    BROWNIE,310,112,8,14,,,,,,,,-14,-1,-1,,,,98,7,13
    Burger,8,9702,1078,1198,,-70.65,-35,-28,,,,-378,-42,-36,,,,9253.35,1036,1121
    CARROTS,307,208,13,25,,,,,,,,,,,,,,208,13,25
    CAVIAR DOG,284,180,10,32,,-18,-2,-1,,,,,,,,,,162,10,31
    CHARRED BEETS,289,18,2,5,,,,,,,,,,,,,,18,2,4
    CHICKEM KEBAB,294,390,13,49,,-13.5,-3,-5,,,,-60,-2,-2,,,,316.5,11,39
    CHX SANDWICH,285,484,22,49,,-14.3,-2,-2,,,,-22,-1,-1,,,,447.7,21,46
    CROQUETTES,278,162,18,47,,-4.5,-1,-1,,,,-9,-1,-1,,,,148.5,17,44
    Doggie,74,,,4,,,,,,,,,,,,,,,,2
    DUCK RILLETTES,305,162,18,36,,-10.35,-2,-2,,,,,,,,,,151.65,18,34
    EXTRA FOCACCIA,311,,,4,,,,,,,,,,,,,,,,2
    Extra Patty,146,114,19,32,,-0.9,-1,-1,,,,-12,-2,-2,,,,101.1,17,27
    FALAFEL,295,220,10,25,,-6.6,-2,-2,,,,,,,,,,213.4,10,22
    FOCACCIA,306,180,15,30,,,,,,,,-12,-1,-1,,,,168,14,28
    FRENCH FRIES,288,98,14,20,,-1.05,-1,-1,,,,,,,,,,96.95,14,19
    Fries,21,5592,699,1039,,-45,-23.5,-27,,,,-248,-31,-29,,,,5299,668,980
    HANDER STEAK,286,280,8,25,,-17.5,-1,-1,,,,-35,-1,-1,,,,227.5,7,23
    HUMMUS,300,64,8,18,,,,,,,,,,,,,,64,8,18
    LAMB KABAB,293,300,10,26,,-4.5,-1,-1,,,,-30,-1,-1,,,,265.5,9,24
    LEEK TOAST,281,168,12,28,,,,,,,,,,,,,,168,12,27
    MEZE PLATTER,301,,,2,,,,,,,,,,,,,,,,2
    MEZE PLATTY PLATTY,303,180,9,35,,-9,-3,-7,,,,-20,-1,-1,,,,151,8,27
    MOUSSE,282,150,10,30,,,,,,,,-15,-1,-1,,,,135,9,29
    MOZZ STICKS,227,,,1,,,,,,,,,,,,,,,,
    MUHAMMARA,297,56,7,9,,,,,,,,,,,,,,56,7,9
    NYE TACOS,276,,,1,,,,,,,,,,,,,,,,
    OLIVES AND PICKELS,296,48,6,28,,-2.4,-2,-6,,,,,,,,,,45.6,6,22
    Open Food,40,63,20,48,-1,-2.1,-3,-6,,,,-3,-1,-1,,,,57.9,18,34
    Order note,FT2,,59,118,-59,,,,,,,,,,,,,,,
    Pimento Cheese,23,776,97,132,,-5.2,-2,-2,,,,-16,-2,-2,,,,754.8,95,128
    Salad,22,2360,236,381,,-32.5,-10,-12,,,,-220,-22,-20,,,,2107.5,214,339
    SAUSAGE,308,243,9,15,,,,,,,,,,,,,,243,9,15
